replication,blocksize,dimension,start_reduce_percentage,reducers,taskio,start_time,start_reduce,end_time,total_time
2,256000000,4600000000,0.35,12,100,1457372129,1457372241,1457372334,205
2,33280000,300000000,0.05,12,100,1456973038,1456973066,1456973144,106
1,99840000,380000000000,0.35,12,100,1458042116,1458044818,1458052890,10774
1,104960000,6200000000,0.5,12,100,1457716238,1457716340,1457716474,236
4,76800000,1500000000,0.75,12,100,1457195873,1457195922,1457195933,60
4,256000000,4600000000,0.75,12,100,1457389192,1457389301,1457389405,213
1,104960000,620000000000,0.75,12,100,1458277585,1458287188,1458292029,14444
3,148480000,1500000000,0.75,12,100,1457188612,1457188670,1457188686,74
4,19968000,700000000,0.75,12,100,1457190388,1457190432,1457190522,134
3,256000000,1800000000,0.35,12,100,1457231997,1457232090,1457232104,107
4,99840000,4600000000,0.35,12,100,1457768984,1457769048,1457769203,219
3,99840000,6200000000,0.35,12,100,1457751901,1457751999,1457752150,249
4,104960000,3800000000,0.75,12,100,1457781257,1457781337,1457781445,188
4,33280000,200000000,0.05,12,100,1456992356,1456992382,1456992390,34
1,99840000,5700000000,0.75,12,100,1457704881,1457705002,1457705115,234
1,33280000,500000000,0.05,12,100,1456964547,1456964579,1456964612,65
3,66560000,500000000,0.9,12,100,1457106694,1457106936,1457106966,272
2,20480000,6200000000,0.35,12,100,1457370673,1457370777,1457371041,368
3,16640000,600000000,0.9,12,100,1457103348,1457103472,1457103473,125
4,76800000,700000000,0.35,12,100,1457193668,1457193717,1457193731,63
1,104960000,3800000000,0.75,12,100,1457713836,1457713927,1457714043,207
2,99840000,3800000000,0.75,12,100,1457728189,1457728294,1457728381,192
3,99840000,300000000,0.05,12,100,1456986674,1456986717,1456986724,50
1,148480000,800000000,0.75,12,100,1457176476,1457176541,1457176556,80
4,168960000,2700000000,0.35,12,100,1457248012,1457248093,1457248223,211
1,76800000,600000000,0.75,12,100,1457170335,1457170385,1457170399,64
4,128000000,4600000000,0.5,12,100,1457785664,1457785735,1457785886,222
3,76800000,800000000,0.75,12,100,1457184043,1457184136,1457184180,137
1,99840000,500000000,0.5,12,100,1456967399,1456967449,1456967463,64
3,99840000,200000000,0.5,12,100,1456985435,1456985481,1456985515,80
3,19968000,700000000,0.35,12,100,1457178779,1457178811,1457178906,127
1,76800000,1500000000,0.75,12,100,1457173046,1457173182,1457173236,190
1,104960000,5700000000,0.35,12,100,1457711426,1457711492,1457711678,252
1,104960000,4600000000,0.5,12,100,1457710838,1457710902,1457711067,229
3,99840000,500000000,0.5,12,100,1456987815,1456987858,1456987873,58
2,33280000,200000000,0.05,12,100,1456972201,1456972278,1456972351,150
2,104960000,3800000000,0.75,12,100,1457735581,1457735660,1457735784,203
4,20480000,1800000000,0.75,12,100,1457240904,1457240966,1457241023,119
2,33280000,300000000,0.5,12,100,1456972672,1456972705,1456972719,47
3,128000000,3800000000,0.35,12,100,1457765296,1457765366,1457765508,212
3,19968000,600000000,0.75,12,100,1457178321,1457178372,1457178449,128
4,20480000,1500000000,0.75,12,100,1457241850,1457241903,1457241982,132
2,16640000,300000000,0.05,12,100,1456969597,1456969620,1456969714,117
4,256000000,2700000000,0.75,12,100,1457244227,1457244337,1457244345,118
4,168960000,1500000000,0.35,12,100,1457250697,1457250770,1457250785,88
3,256000000,2700000000,0.75,12,100,1457230978,1457231195,1457231658,680
2,256000000,3800000000,0.35,12,100,1457375020,1457375132,1457375731,711
2,99840000,300000000,0.05,12,100,1456976266,1456976309,1456976324,58
3,33280000,500000000,0.5,12,100,1456984472,1456984515,1456984621,149
4,16640000,400000000,0.05,12,100,1456990671,1456990699,1456990779,108
4,20480000,3800000000,0.75,12,100,1457386570,1457386694,1457386711,141
3,148480000,1500000000,0.35,12,100,1457188175,1457188234,1457188251,76
2,99840000,200000000,0.5,12,100,1456975148,1456975191,1456975198,50
1,19968000,800000000,0.75,12,100,1457168240,1457168303,1457168383,143
2,104960000,3800000000,0.5,12,100,1457736124,1457736187,1457736317,193
4,256000000,6200000000,0.75,12,100,1457393595,1457393759,1457393801,206
4,104960000,5700000000,0.35,12,100,1457778685,1457778803,1457778922,237
4,16640000,600000000,0.9,12,100,1457109206,1457109305,1457109330,124
2,168960000,3800000000,0.75,12,100,1457381469,1457381551,1457381576,107
3,33280000,500000000,0.05,12,100,1456984955,1456984978,1456985111,156
3,16640000,300000000,0.5,12,100,1456979389,1456979420,1456979501,112
3,168960000,1800000000,0.35,12,100,1457235963,1457236026,1457236033,70
1,128000000,5700000000,0.75,12,100,1457719195,1457719315,1457719432,237
3,16640000,300000000,0.05,12,100,1456979829,1456979860,1456979934,105
1,33280000,200000000,0.5,12,100,1456961416,1456961564,1456961594,178
1,99840000,620000000000,0.5,12,100,1458113834,1458120089,1458129829,15995
2,16640000,500000000,0.05,12,100,1456971373,1456971402,1456971494,121
