replication,blocksize,dimension,start_reduce_percentage,reducers,start_time,start_reduce,end_time,total_time
2,2097152,400000000,0.5,12,1455414659,1455419239,1455425331,10672
4,134217728,200000000,0.5,6,1459151285,1459151402,1459152071,786
3,1572864,300000000,0.05,12,1454693097,1454693902,1454704265,11168
4,99840000,500000000,0.35,6,1459054988,1459055179,1459056148,1160
2,99840000,500000000,0.35,48,1458787956,1458788128,1458789115,1159
4,99840000,400000000,0.05,48,1459038038,1459038129,1459038963,925
1,1572864,500000000,0.5,12,1455198994,1455206103,1455217551,18557
2,134217728,200000000,0.05,12,1456147232,1456147276,1456147858,626
2,33280000,400000000,0.5,12,1456474283,1456474624,1456475514,1231
2,16640000,300000000,0.5,24,1458940099,1458940576,1458941673,1574
2,99840000,200000000,0.5,24,1458754562,1458754672,1458754976,414
4,134217728,500000000,0.05,24,1459195532,1459195619,1459196686,1154
2,133120000,300000000,0.5,12,1456166321,1456166712,1456167263,942
2,133120000,500000000,0.35,24,1458840044,1458840221,1458841216,1172
2,133120000,500000000,0.35,6,1458843695,1458843886,1458845676,1981
3,99840000,500000000,0.5,12,1456538034,1456538283,1456539243,1209
4,66560000,200000000,0.5,12,1456297662,1456297782,1456298045,383
2,133120000,200000000,0.05,24,1458808265,1458808308,1458808609,344
2,1048576,200000000,0.5,12,1455262348,1455266602,1455273860,11512
2,134217728,300000000,0.5,24,1458876316,1458876472,1458876926,610
4,16640000,200000000,0.05,24,1459215532,1459215619,1459216504,972
2,133120000,300000000,0.5,48,1458822612,1458822770,1458823289,677
2,133120000,400000000,0.35,48,1458827183,1458827320,1458828024,841
2,133120000,400000000,0.5,48,1458836648,1458836833,1458837354,706
2,99840000,400000000,0.05,24,1458775459,1458775524,1458776334,875
3,66560000,500000000,0.05,12,1456259006,1456259189,1456260770,1764
3,1572864,500000000,0.05,12,1454722258,1454723633,1454740985,18727
4,16640000,300000000,0.35,48,1459228140,1459228473,1459229633,1493
3,134217728,500000000,0.05,12,1456218068,1456218235,1456219962,1894
2,99840000,500000000,0.05,12,1456493116,1456493179,1456494193,1077
2,133120000,200000000,0.5,6,1458812623,1458812724,1458813243,620
2,16640000,200000000,0.35,6,1458917638,1458917863,1458918511,873
3,99840000,400000000,0.5,12,1456534411,1456534617,1456535338,927
4,66560000,300000000,0.5,12,1456300222,1456300393,1456300793,571
2,134217728,400000000,0.35,48,1458882423,1458882560,1458883327,904
1,1572864,400000000,0.05,12,1454342885,1454343717,1454356981,14096
1,1572864,200000000,0.05,12,1454321616,1454322160,1454329689,8073
2,16640000,300000000,0.05,6,1458938318,1458938412,1458939498,1180
3,99840000,400000000,0.05,12,1456536268,1456536327,1456537107,839
2,16640000,500000000,0.05,48,1458986039,1458986307,1458988883,2844
4,134217728,300000000,0.35,24,1459152969,1459153086,1459153535,566
1,16640000,400000000,0.5,12,1456417330,1456417976,1456419079,1749
1,99840000,400000000,0.5,12,1456444486,1456444692,1456445388,902
1,16640000,500000000,0.5,12,1456421792,1456422548,1456424451,2659
2,133120000,200000000,0.05,6,1458810043,1458810087,1458810442,399
2,133120000,300000000,0.35,6,1458816276,1458816392,1458817318,1042
2,99840000,500000000,0.35,6,1458789834,1458790015,1458791599,1765
2,99840000,200000000,0.5,48,1458755507,1458755635,1458755947,440
4,133120000,400000000,0.05,6,1459109085,1459109163,1459110138,1053
1,16640000,400000000,0.05,12,1456419602,1456419725,1456421254,1652
2,16640000,500000000,0.35,6,1458979241,1458979776,1458981744,2503
4,133120000,300000000,0.05,48,1459090406,1459090474,1459091035,629
1,133120000,300000000,0.5,12,1456116115,1456116275,1456116965,850
1,134217728,300000000,0.05,12,1456101381,1456101502,1456102237,856
1,133120000,400000000,0.5,12,1456119739,1456119947,1456120991,1252
2,99840000,400000000,0.5,48,1458782377,1458782574,1458783414,1037
1,1048576,400000000,0.5,12,1455112399,1455120979,1455133338,20939
2,1572864,500000000,0.5,12,1455381209,1455388484,1455398961,17752
3,1048576,200000000,0.5,12,1455439664,1455443944,1455450073,10409
4,133120000,500000000,0.35,24,1459117676,1459117857,1459118815,1139
2,99840000,500000000,0.5,12,1456490912,1456491154,1456492321,1409
1,66560000,400000000,0.05,12,1456137833,1456137968,1456139514,1681
1,16640000,200000000,0.5,12,1456410542,1456410861,1456411527,985
2,33280000,200000000,0.5,12,1456468954,1456469140,1456469609,655
2,16640000,400000000,0.35,6,1458952217,1458952645,1458954530,2313
4,99840000,500000000,0.5,12,1456591574,1456591834,1456593301,1727
4,99840000,200000000,0.5,6,1459012762,1459012877,1459013423,661
2,133120000,400000000,0.35,6,1458828675,1458828821,1458829722,1047
4,133120000,300000000,0.05,6,1459091890,1459091935,1459092729,839
4,66560000,400000000,0.05,12,1456305658,1456305712,1456306505,847
4,99840000,200000000,0.5,12,1456580985,1456581098,1456581498,513
4,134217728,500000000,0.35,6,1459191709,1459191905,1459194355,2646
4,16640000,400000000,0.05,48,1459260002,1459260245,1459262340,2338
3,133120000,500000000,0.05,12,1456237498,1456237815,1456238968,1470
4,1572864,200000000,0.5,12,1455699823,1455702698,1455706536,6713
4,133120000,400000000,0.35,48,1459100768,1459100905,1459101621,853
2,1048576,500000000,0.05,12,1454477151,1454479211,1454504540,27389
4,99840000,300000000,0.35,48,1459016000,1459016120,1459016659,659
4,99840000,400000000,0.05,6,1459040008,1459040071,1459041146,1138
4,16640000,400000000,0.5,12,1456550287,1456550901,1456552542,2255
4,134217728,300000000,0.35,48,1459154488,1459154609,1459155172,684
3,33280000,500000000,0.05,12,1456527313,1456527418,1456528921,1608
4,16640000,500000000,0.05,12,1456560421,1456560570,1456563310,2889
3,66560000,300000000,0.5,12,1456243632,1456243997,1456244874,1242
3,1048576,400000000,0.05,12,1454635560,1454637177,1454657385,21825
4,133120000,400000000,0.35,6,1459102648,1459102794,1459103961,1313
2,134217728,400000000,0.05,12,1456156545,1456156620,1456157906,1361
2,133120000,400000000,0.05,12,1456174183,1456174254,1456175208,1025
4,16640000,200000000,0.05,12,1456543868,1456543948,1456544838,970
3,33280000,300000000,0.5,12,1456516894,1456517159,1456517778,884
2,133120000,200000000,0.5,24,1458810946,1458811056,1458811268,322
4,99840000,300000000,0.05,6,1459022505,1459022546,1459023591,1086
4,16640000,300000000,0.5,12,1456545721,1456546210,1456546871,1150
2,99840000,400000000,0.5,24,1458780736,1458780936,1458781669,933
2,99840000,300000000,0.5,24,1458765976,1458766136,1458766604,628
3,33280000,300000000,0.05,12,1456518513,1456518572,1456519406,893
3,33280000,400000000,0.05,12,1456522602,1456522675,1456523915,1313
4,16640000,200000000,0.5,6,1459224297,1459224608,1459225043,746
4,1048576,300000000,0.05,12,1454800386,1454801621,1454816240,15854
4,134217728,300000000,0.05,48,1459159265,1459159334,1459159919,654
4,16640000,300000000,0.5,48,1459242201,1459242663,1459243862,1661
4,133120000,400000000,0.5,6,1459114821,1459115026,1459116456,1635
2,99840000,500000000,0.05,48,1458794367,1458794462,1458795554,1187
1,99840000,400000000,0.05,12,1456445883,1456445953,1456446782,899
4,133120000,500000000,0.5,12,1456292891,1456293144,1456294464,1573
2,16640000,500000000,0.35,48,1458975963,1458976550,1458978395,2432
3,16640000,200000000,0.5,12,1456494839,1456495155,1456495743,904
4,134217728,400000000,0.5,24,1459180187,1459180374,1459181205,1018
4,133120000,500000000,0.05,48,1459128168,1459128266,1459129408,1240
4,134217728,500000000,0.05,12,1456281145,1456281207,1456282179,1034
3,16640000,300000000,0.05,12,1456500247,1456500342,1456501566,1319
2,66560000,400000000,0.5,12,1456188360,1456188887,1456190129,1769
2,99840000,500000000,0.05,24,1458792404,1458792480,1458793634,1230
2,134217728,200000000,0.5,6,1458867903,1458868020,1458868233,330
4,133120000,400000000,0.5,48,1459112972,1459113171,1459113778,806
1,33280000,300000000,0.05,12,1456431496,1456431555,1456432318,822
3,2097152,500000000,0.5,12,1455604162,1455610263,1455617894,13732
3,1572864,400000000,0.05,12,1454705495,1454706758,1454720817,15322
2,16640000,400000000,0.35,24,1458946434,1458946861,1458948444,2010
2,133120000,400000000,0.05,48,1458832014,1458832090,1458832775,761
4,133120000,500000000,0.5,48,1459137464,1459137713,1459138682,1218
3,16640000,200000000,0.05,12,1456496361,1456496430,1456497181,820
3,134217728,300000000,0.5,12,1456203512,1456203899,1456204887,1375
2,134217728,200000000,0.5,12,1456145817,1456145926,1456146366,549
4,99840000,200000000,0.05,6,1459009185,1459009246,1459009585,400
2,99840000,400000000,0.05,48,1458776973,1458777070,1458777828,855
1,99840000,500000000,0.05,12,1456449371,1456449435,1456450270,899
4,16640000,200000000,0.05,6,1459219151,1459219218,1459219989,838
4,66560000,500000000,0.5,12,1456307845,1456308120,1456309059,1214
2,16640000,300000000,0.35,24,1458927947,1458928296,1458929494,1547
2,16640000,400000000,0.5,12,1456457364,1456458011,1456459036,1672
4,134217728,300000000,0.35,6,1459156017,1459156154,1459156804,787
4,16640000,200000000,0.5,12,1456542302,1456542624,1456543167,865
3,1572864,200000000,0.5,12,1455517970,1455520817,1455525562,7592
4,134217728,300000000,0.5,24,1459162495,1459162654,1459163167,672
4,99840000,300000000,0.05,12,1456585522,1456585586,1456586109,587
3,134217728,300000000,0.05,12,1456206266,1456206420,1456207373,1107
3,134217728,400000000,0.5,12,1456209102,1456209569,1456210996,1894
2,16640000,300000000,0.35,48,1458930196,1458930524,1458931526,1330
4,133120000,500000000,0.05,6,1459130686,1459130746,1459133540,2854
4,33280000,200000000,0.5,12,1456564110,1456564295,1456564601,491
4,133120000,300000000,0.5,48,1459095277,1459095447,1459095880,603
2,1572864,400000000,0.05,12,1454524526,1454525767,1454539593,15067
2,134217728,500000000,0.5,48,1458910150,1458910402,1458911489,1339
2,99840000,300000000,0.05,6,1458764403,1458764444,1458765381,978
2,133120000,200000000,0.35,6,1458807240,1458807327,1458807734,494
4,134217728,200000000,0.05,24,1459145733,1459145777,1459146086,353
4,16640000,200000000,0.35,48,1459211929,1459212158,1459213147,1218
4,134217728,300000000,0.5,6,1459165599,1459165770,1459166656,1057
2,134217728,400000000,0.35,24,1458880866,1458881004,1458881744,878
2,16640000,200000000,0.5,48,1458925048,1458925363,1458925983,935
4,99840000,500000000,0.35,48,1459052638,1459052831,1459053759,1121
1,1048576,200000000,0.05,12,1454235175,1454235959,1454249135,13960
2,16640000,500000000,0.05,12,1456465464,1456465650,1456468374,2910
2,134217728,500000000,0.5,6,1458912202,1458912444,1458913849,1647
2,66560000,400000000,0.05,12,1456191395,1456191544,1456193016,1621
4,66560000,500000000,0.05,12,1456310312,1456310379,1456311584,1272
2,134217728,200000000,0.05,48,1458864457,1458864530,1458864839,382
4,1048576,200000000,0.05,12,1454788100,1454788897,1454799112,11012
4,134217728,300000000,0.05,12,1456269289,1456269334,1456269890,601
4,2097152,300000000,0.5,12,1455770368,1455780242,1455787898,17530
4,1572864,200000000,0.05,12,1454875175,1454875723,1454882578,7403
2,133120000,300000000,0.05,24,1458817876,1458817935,1458818473,597
replication,blocksize,dimension,start_reduce_percentage,reducers,start_time,start_reduce,end_time,total_time
